name,address,lat,lng
"""EL RACÃ“ DE LA IAIA""","C/VALLCIVERA  22, Barcelona, 08033, Spain",41.46066572,2.177520189
Port de Barcelona,"Moll d'Espanya s/n, Barcelona, 08002, Spain",41.37562098,2.179729448
Woki,"Paseo MarÃ_timo de la Barceloneta 1, Barcelona, , Spain",41.37905497,2.192241306
Absenta Bar,"Carrer de Sant Carles, 36, Barcelona, Spain",41.379535,2.191218
Hotel Arts Barcelona,"Carrer de la Marina 19, Barcelona, 08005, Spain",41.3866163,2.196592869
La Esquinica,"Passeig de Fabra i Puig, 296, Barcelona, Spain",41.430504,2.171276
Barnabier,"Calle Marina, 16, Barcelona, Spain",41.387288,2.197598
BracafÃ©,"Carrer de Casp, 2, Barcelona, Spain",41.388786,2.170102
Botafumeiro,"Carrer Gran de GrÃ cia, 81, Barcelona, Spain",41.400431,2.154649
Euskal Etxea (Restaurant),"Placeta de Montcada, 1, Barcelona, Spain",41.384519,2.181924
Ciudad Condal,"Rambla de Catalunya, 18, Barcelona, Spain",41.38881,2.166805
Sagardi BCN Gotic,"Carrer de l'Argenteria, 62, Barcelona, Spain",41.383479,2.180873
Glaciar,"PlaÃ§a Reial, 3, Barcelona, Spain",41.380242,2.174763
El Xampanyet,"Carrer de Montcada, 22, Barcelona, Spain",41.384506,2.181637
El Cangrejo Loco,"Port OlÃ_mpic, Moll de Gregal, 29 - 30, Barcelona, Spain",41.3877,2.201794
Costa Gallega,"Passeig de GrÃ cia, 71, Barcelona, Spain",41.394014,2.162364
Bar Oviso,"Carrer de n'Arai, 5, Barcelona, Spain",41.380702,2.177124
Paco Meralgo,"Carrer de Muntaner, 171, Barcelona, Spain",41.391617,2.152594
Lolita Taperia,"Carrer de Tamarit, 104, Local 2-4, Barcelona, Spain",41.376162,2.157816
Bar Lobo,"Carrer del Pintor Fortuny, 3, Barcelona, Spain",41.383227,2.170578
Rosal 34,"Carrer del Roser, 34, Barcelona, Spain",41.373144,2.166469
Dostrece Restaurant,"Carrer Carme, 40, Barcelona, Spain",41.381984,2.169645
Cal Pep Restaurant,"PlaÃ§a de les Olles, 8, Barcelona, Spain",41.383927,2.183411
La Balsa,"Carrer de la Infanta Isabel, 4, Barcelona, Spain",41.410813,2.130358
La Taula,"Carrer de Sant MÃ rius, 8, Barcelona, Spain",41.404303,2.137656
Margarita Blue,"Carrer de Josep Anselm ClavÃ©, 6, 08002 Barcelona, Spain",41.377952,2.178418
Casa Pepe,"Paseo Bonanova, 4, Barcelona, Spain",41.4067,2.134074
El Asador de Aranda,"Avenida Tibidabo, 31, Barcelona, Spain",41.413248,2.134318
St. RÃ©my,"Carrer d' Iradier, 12, Barcelona, Spain",41.403899,2.126027
El JardÃ_ de lÂ´Abadessa,"Carrer de l'Abadessa Olzet, 26, Barcelona, Spain",41.394371,2.109676
7 Portes,"Paseo Isabel II, 14, Barcelona, Spain",41.382237,2.183365
Moncho's Barcelona,"Travessera de GrÃ cia, 44-46, Barcelona, Spain",41.395489,2.148779
Salamanca,"Calle L'almirall Cervera, 34, Barcelona, Spain",41.378598,2.191337
La DolÃ§a HermÃ_nia Restaurant,"Carrer de les Magdalenes, 27, Barcelona, Spain",41.386674,2.174448
PizzerÃ_a La Gavina Restaurant,"Carrer de Ros de Olano, 17, Barcelona, Spain",41.401459,2.155379
Cantina Machito,"Calle Torrijos, 47, Barcelona, EspaÃ±a",41.404283,2.157829
Out of China,"Muntaner, 100, Barcelona, Spain",41.388584,2.157069
Neichel,"Carrer de BeltrÃ¡n i RÃ_zpide, 1, Barcelona, Spain",41.389439,2.121648
Can Cortada,"Avinguda l'Estatut de Catalunya, Barcelona, Spain",41.435306,2.153061
CafÃ© SalambÃ_,"Carrer de Torrijos, 51, Barcelona, Spain",41.404443,2.157762
Choquito,"La Rambla, 98, Barcelona, Spain",41.382252,2.172553
Bestial,"Carrer de Ramon Trias Fargas, 2, Barcelona, Spain",41.386193,2.197689
Los Caracoles,"Calle de los Escudellers, 14, Barcelona, Spain",41.379703,2.176424
Can Pineda,"Carrer de Sant Joan de Malta, 55, Barcelona, Spain",41.408562,2.192879
Restaurante TritÃ_n,"C/ Alfambra, 16, Barcelona, Spain",41.386328,2.112434
Tibet,"Carrer de Ramiro de Maeztu, 34, Badalona, Spain",41.415786,2.157984
Can Travi Nou,"Calle Jorge Manrique, s/n, Barcelona, Spain",41.431055,2.152108
La Venta,"PlaÃ§a Doctor Andreu, S/N, Barcelona, Spain",41.416212,2.131283
Granja Elena,"Passeig de la Zona Franca, 228, Barcelona, Spain",41.362705,2.137419
Restaurant La Font de Prades (Poble Espanyol),"Poble Espanyol, Avinguda de Francesc Ferrer i GuÃ rdia, 13-27, Barcelona, Spain",41.369017,2.149376
Restaurante Tenorio,"Passeig de GrÃ cia, 37, Barcelona, Spain",41.391539,2.165186
Tramonti 1980,"Avinguda Diagonal, 501, 08029 Barcelona, Spain",41.391807,2.142368
Casa Joana,"Carrer Major de SarriÃ , 59, Barcelona, Spain",41.398072,2.122476
Negro-rojo,"Avinguda Diagonal, 640, Barcelona, Spain",41.390866,2.135161
Tram-Tram,"Carrer Major de SarriÃ , 121, Barcelona, Spain",41.400749,2.12053
Masia Restaurant Tibidabo,"Plaza del Tibidabo, 3 - 4, 08035, Barcelona, Spain",41.421081,2.118874
La Piazzenza,"Avinguda de GaudÃ_, 27, Barcelona, Spain",41.406487,2.174262
La Fonda del Port OlÃ_mpic,"Calle Moll de Gregal, 7-10, Barcelona, Spain",41.388549,2.200665
Marina Moncho's,"Carrer de la Marina, 19, Barcelona, Spain",41.386369,2.197543
Cal Pinxo,"PlaÃ§a de Pau Vila, 1, Barcelona, Spain",41.38078,2.186034
Xiringuito EscribÃ ,"Avenida del Litoral, 42, Barcelona, Spain",41.39352,2.20533
